Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
27879	32241	0.8178499937057495	0.9187719821929932	4362	0.1009219884872436	11	75455021	85868640	results/01_atlas/I0013	FAM001_ID001
46226	48764	1.2611960172653198	1.3578170537948608	2538	0.096621036529541	11	118757788	123939207	results/01_atlas/I0013	FAM001_ID001
49991	52015	1.3951330184936523	1.4706950187683103	2024	0.0755620002746582	11	126387391	130469806	results/01_atlas/I0013	FAM001_ID001
8581	12037	0.361704	0.4762510061264038	3456	0.114547014	12	19105598	26728869	results/01_atlas/I0048	results/01_atlas/I0013
25712	29358	0.8095549941062927	0.8991230130195618	3646	0.089568018913269	12	67184108	75969345	results/01_atlas/I0048	results/01_atlas/I0013
51905	53777	1.6457070112228394	1.7439550161361694	1872	0.09824800491333	12	129778847	133325639	results/01_atlas/I0048	results/01_atlas/I0013
816	2524	0.044576	0.1224289983510971	1708	0.077852994	12	2056363	4899595	results/01_atlas/I0048	FAM001_ID001
3916	5782	0.1833589971065521	0.2714149951934814	1866	0.0880559980869293	12	7374257	12252078	results/01_atlas/I0048	FAM001_ID001
20008	22602	0.642952024936676	0.7271659970283508	2594	0.0842139720916748	12	51470895	58486021	results/01_atlas/I0048	FAM001_ID001
24424	27191	0.7677019834518433	0.854653000831604	2767	0.0869510173797607	12	63576379	70064295	results/01_atlas/I0048	FAM001_ID001
44390	46166	1.319219946861267	1.3851670026779177	1776	0.0659470558166503	12	114418983	117640576	results/01_atlas/I0048	FAM001_ID001
46744	49545	1.410730004310608	1.5125830173492432	2801	0.1018530130386352	12	118590816	125998471	results/01_atlas/I0048	FAM001_ID001
50245	51589	1.5404399633407593	1.6286369562149048	1344	0.0881969928741455	12	127232755	129342583	results/01_atlas/I0048	FAM001_ID001
51743	53881	1.6391750574111938	1.7467989921569824	2138	0.1076239347457885	12	129595540	133810286	results/01_atlas/I0048	FAM001_ID001
6	4231	0.00178	0.2051180005073547	4225	0.203338	12	196610	8379967	results/01_atlas/I0013	FAM001_ID001
4631	6995	0.2235099971294403	0.3166489899158478	2364	0.0931389927864074	12	9801382	14661013	results/01_atlas/I0013	FAM001_ID001
9110	14498	0.3784179985523224	0.5346620082855225	5388	0.1562440097332	12	20381649	32029844	results/01_atlas/I0013	FAM001_ID001
25124	27307	0.7877309918403625	0.8566349744796753	2183	0.0689039826393127	12	65953527	70315781	results/01_atlas/I0013	FAM001_ID001
27680	32394	0.864467978477478	1.000424027442932	4714	0.1359560489654541	12	71016832	84220855	results/01_atlas/I0013	FAM001_ID001
33325	40441	1.0142669677734375	1.2212049961090088	7116	0.2069380283355713	12	88114376	104776465	results/01_atlas/I0013	FAM001_ID001
51088	53881	1.5914440155029297	1.7467989921569824	2793	0.1553549766540527	12	128657480	133810286	results/01_atlas/I0013	FAM001_ID001
6796	8953	0.29122	0.3586429953575134	2157	0.067422986	13	32990780	37941310	results/01_atlas/I0048	results/01_atlas/I0013
18892	23390	0.6325669884681702	0.7542889714241028	4498	0.1217219829559326	13	68463540	79062405	results/01_atlas/I0048	results/01_atlas/I0013
25470	28574	0.8022130131721497	0.8671010136604309	3104	0.0648880004882812	13	85618282	94775069	results/01_atlas/I0048	results/01_atlas/I0013
33679	35575	1.0189050436019895	1.1101289987564087	1896	0.0912239551544189	13	104917632	108402551	results/01_atlas/I0048	results/01_atlas/I0013
35862	38991	1.124629020690918	1.2570459842681885	3129	0.1324169635772705	13	108935723	115103150	results/01_atlas/I0048	results/01_atlas/I0013
3466	5093	0.161013	0.2230889946222305	1627	0.062075987	13	26623809	29815642	results/01_atlas/I0048	FAM001_ID001
5459	8930	0.2378609925508499	0.3584290146827698	3471	0.1205680221319198	13	30496308	37885818	results/01_atlas/I0048	FAM001_ID001
11058	14039	0.441004991531372	0.5356090068817139	2981	0.0946040153503418	13	44205683	52421934	results/01_atlas/I0048	FAM001_ID001
34821	38887	1.0725020170211792	1.25560200214386	4066	0.1830999851226806	13	106928014	114833878	results/01_atlas/I0048	FAM001_ID001
78	4177	0.007354	0.1849260032176971	4099	0.177572	13	19650222	27934706	results/01_atlas/I0013	FAM001_ID001
6043	11290	0.2621400058269501	0.4503870010375976	5247	0.1882469952106475	13	31494941	44898037	results/01_atlas/I0013	FAM001_ID001
11496	14005	0.4639750123023987	0.5343899726867676	2509	0.0704149603843689	13	45900267	52355513	results/01_atlas/I0013	FAM001_ID001
18898	24295	0.6327260136604309	0.7770519852638245	5397	0.1443259716033935	13	68491550	81545259	results/01_atlas/I0013	FAM001_ID001
24596	31294	0.7861729860305786	0.9461979866027832	6698	0.1600250005722046	13	82588526	100504459	results/01_atlas/I0013	FAM001_ID001
31823	37044	0.9647579789161682	1.1681599617004397	5221	0.2034019827842712	13	101693207	110883496	results/01_atlas/I0013	FAM001_ID001
37185	38920	1.1772609949111938	1.2562580108642578	1735	0.0789970159530639	13	111060205	114889305	results/01_atlas/I0013	FAM001_ID001
506	4536	0.058329	0.2364380061626434	4030	0.178109	14	21270676	30864664	results/01_atlas/I0048	results/01_atlas/I0013
5894	8889	0.2927460074424743	0.3809190094470978	2995	0.0881730020046234	14	33931064	41565756	results/01_atlas/I0048	results/01_atlas/I0013
11396	15152	0.4338580071926117	0.5391309857368469	3756	0.1052729785442352	14	49670005	58046193	results/01_atlas/I0048	results/01_atlas/I0013
2575	4351	0.165746	0.2289589941501617	1776	0.06321299	14	25345898	30395066	results/01_atlas/I0048	FAM001_ID001
4687	7047	0.2441290020942688	0.3439190089702606	2360	0.0997900068759918	14	31279486	36672537	results/01_atlas/I0048	FAM001_ID001
15946	21931	0.5571110248565674	0.6897199749946594	5985	0.132608950138092	14	59815040	74815239	results/01_atlas/I0048	FAM001_ID001
33590	36162	1.0441570281982422	1.1677440404891968	2572	0.1235870122909545	14	99093332	106291576	results/01_atlas/I0048	FAM001_ID001
132	1231	0.027675	0.101511001586914	1099	0.073836	14	20672016	22737591	results/01_atlas/I0013	FAM001_ID001
1601	3961	0.1199520006775856	0.2129220068454742	2360	0.0929700061678886	14	23258128	29025319	results/01_atlas/I0013	FAM001_ID001
4212	7463	0.2246550023555755	0.3568139970302582	3251	0.1321589946746826	14	29977464	37430306	results/01_atlas/I0013	FAM001_ID001
11248	14290	0.4308440089225769	0.5118299722671509	3042	0.0809859633445739	14	49307624	56379039	results/01_atlas/I0013	FAM001_ID001
